relative_sec,EEG1,EEG2,EEG3,EEG4
0.8,-1295.028247,-1576.878328,-1271.184515,-1791.161505
0.805,-1295.708909,-1583.281036,-1272.280306,-1783.868701
0.81,-1322.022845,-1591.157266,-1286.806077,-1786.553949
0.815,-1315.915589,-1578.740798,-1275.941668,-1774.735865
0.82,-1336.170887,-1598.693164,-1299.372141,-1789.691725
0.825,-1334.678667,-1594.646592,-1307.304469,-1777.421113
0.83,-1341.403007,-1597.159805,-1310.677859,-1789.654326
0.835,-1347.540183,-1598.883899,-1315.640706,-1786.50907
0.84,-1363.165485,-1605.892472,-1329.482076,-1792.092741
0.845,-1368.341506,-1602.025415,-1336.471949,-1801.506069
0.85,-1367.720683,-1600.260182,-1338.917843,-1788.326661
0.855,-1372.810687,-1598.562268,-1344.161183,-1791.097927
0.86,-1376.019521,-1604.534888,-1346.401383,-1794.927585
0.865,-1383.731194,-1599.119513,-1349.296066,-1795.881259
0.87,-1378.424276,-1598.143399,-1347.949702,-1786.318335
0.875,-1381.29278,-1601.640205,-1350.713488,-1792.399412
0.88,-1378.727208,-1611.352725,-1349.984207,-1788.192025
0.885,-1378.424276,-1618.518374,-1353.802645,-1794.979943
0.89,-1376.483268,-1624.083345,-1357.912795,-1799.692217
0.895,-1375.813826,-1624.498474,-1358.638336,-1802.699097
0.9,-1381.225461,-1618.896104,-1358.058651,-1803.473256
0.905,-1443.066577,-1587.99892,-1440.497266,-1817.671786
0.91,-1436.555411,-1574.254788,-1423.776173,-1807.869509
0.915,-1435.231487,-1579.41959,-1435.49328,-1807.82837
0.92,-1432.796812,-1579.718782,-1430.119044,-1801.564037
0.925,-1436.97428,-1594.869116,-1432.538759,-1817.088362
0.93,-1445.389055,-1596.634349,-1434.322691,-1820.701105
0.935,-1429.797412,-1580.90433,-1427.64323,-1811.306477
0.94,-1434.318951,-1587.482814,-1420.260667,-1813.42326
0.945,-1428.75772,-1577.598258,-1424.572772,-1807.783491
0.95,-1422.156797,-1582.044999,-1426.356704,-1812.566823
0.955,-1410.581806,-1587.710948,-1429.797412,-1809.017658
0.96,-1430.859544,-1589.827731,-1437.067778,-1811.156881
0.965,-1437.980313,-1586.592718,-1434.468547,-1812.29007
0.97,-1436.147762,-1589.203168,-1422.130617,-1804.585876
0.975,-1444.09131,-1589.554719,-1432.901529,-1819.552956
0.98,-1444.887908,-1588.548685,-1427.153303,-1823.218058
0.985,-1438.818051,-1596.843784,-1432.441521,-1826.434372
0.99,-1443.175034,-1595.564738,-1440.740359,-1813.43822
0.995,-1445.56857,-1584.618051,-1438.09625,-1810.517358
1,-1442.531772,-1594.700821,-1425.840598,-1827.159913
1.005,-1441.327524,-1596.267839,-1419.890417,-1831.853487
1.01,-1426.955088,-1590.919782,-1415.555873,-1832.590247
1.015,-1428.76894,-1585.051879,-1397.589394,-1820.054103
1.02,-1423.716335,-1571.670517,-1400.902945,-1806.71014
1.025,-1425.844338,-1580.231148,-1400.158705,-1804.971086
1.03,-1421.66313,-1581.177343,-1396.661899,-1801.960467
1.035,-1417.268747,-1573.951856,-1393.150132,-1793.545692
1.04,-1435.392302,-1586.12149,-1407.956396,-1799.185461
1.045,-1430.968001,-1587.972741,-1414.777974,-1809.185953
1.05,-1441.723953,-1597.101837,-1421.315319,-1823.064722
1.055,-1437.916735,-1594.027639,-1422.328832,-1817.705445
1.06,-1438.664715,-1586.667516,-1413.341852,-1814.638727
1.065,-1445.007585,-1592.213787,-1419.479028,-1814.608808
1.07,-1440.654342,-1592.041752,-1423.424623,-1833.869293
1.075,-1431.592564,-1590.497173,-1423.88837,-1826.14266
1.08,-1417.018174,-1586.761013,-1411.55418,-1834.467677
1.085,-1425.507747,-1583.716735,-1416.861098,-1815.360528
1.09,-1425.0253,-1590.63555,-1419.40423,-1826.236157
1.095,-1429.782453,-1588.234534,-1415.230502,-1812.402267
1.1,-1437.610063,-1585.515627,-1426.416543,-1820.252317
1.105,-1441.058251,-1600.018959,-1426.397843,-1817.870001
1.11,-1431.345731,-1574.456742,-1412.204923,-1805.300197
1.115,-1438.728293,-1582.75558,-1424.64383,-1811.145661
1.12,-1437.598843,-1585.650263,-1419.894157,-1812.555603
1.125,-1435.407262,-1586.15141,-1420.331725,-1821.407946
1.13,-1438.589917,-1585.829778,-1422.055819,-1806.074357
1.135,-1437.894296,-1586.162629,-1423.357304,-1808.651148
1.14,-1432.774373,-1576.337912,-1415.133264,-1804.540998
1.145,-1427.209401,-1572.960782,-1404.915858,-1815.401667
1.15,-1432.718274,-1578.30136,-1418.940483,-1821.007777
1.155,-1432.045092,-1587.62119,-1417.710056,-1825.529316
1.16,-1438.593657,-1584.26276,-1414.785454,-1826.247377
1.165,-1424.195042,-1581.252141,-1410.267655,-1833.891732
1.17,-1411.606539,-1570.084799,-1406.157505,-1823.472371
1.175,-1397.323861,-1575.212202,-1405.96677,-1822.986184
1.18,-1410.458389,-1573.806,-1399.089094,-1812.869755
1.185,-1431.585084,-1584.124384,-1406.987762,-1818.625461
1.19,-1422.844938,-1585.927016,-1400.566354,-1812.626661
1.195,-1421.468655,-1582.460128,-1397.245323,-1827.911632
1.2,-1407.687124,-1590.901083,-1391.257743,-1817.89244
1.205,-1369.67852,-1581.158643,-1375.28837,-1811.115742
1.21,-1403.816327,-1581.181083,-1388.220944,-1811.257858
1.215,-1437.531525,-1586.14393,-1411.393364,-1821.392987
1.22,-1396.486123,-1584.947162,-1381.859375,-1808.56513
1.225,-1433.787885,-1582.246954,-1412.257281,-1823.550909
1.23,-1431.173695,-1585.324892,-1408.412664,-1826.51665
1.235,-1437.288432,-1580.997827,-1413.633565,-1819.354741
1.24,-1432.781852,-1582.02256,-1409.725369,-1826.460551
1.245,-1410.192857,-1577.826392,-1393.030456,-1817.361375
1.25,-1410.383591,-1587.572572,-1394.75455,-1816.613395
1.255,-1408.405184,-1581.884184,-1397.866146,-1806.784938
1.26,-1390.494804,-1588.885276,-1386.070502,-1805.296457
1.265,-1411.614019,-1598.167708,-1399.373326,-1810.236865
1.27,-1403.644292,-1588.342991,-1399.96049,-1816.486238
1.275,-1403.045908,-1588.429009,-1400.042768,-1817.701706
1.28,-1392.925738,-1586.88817,-1388.639813,-1808.901721
1.285,-1403.554534,-1595.647016,-1396.61328,-1817.604468
1.29,-1408.393965,-1593.201121,-1391.702791,-1823.700505
1.295,-1414.082353,-1597.827377,-1400.981483,-1826.684945
1.3,-1399.923091,-1594.068778,-1387.962891,-1825.428339
1.305,-1396.306608,-1592.707454,-1383.291756,-1815.450286
1.31,-1396.628239,-1583.368924,-1389.12226,-1812.484545
1.315,-1395.610987,-1589.532279,-1391.493357,-1823.023583
1.32,-1393.022976,-1590.078305,-1389.264376,-1813.599035
1.325,-1410.192857,-1592.150209,-1395.902699,-1815.326869
1.33,-1417.567939,-1585.193995,-1387.738497,-1811.265338
1.335,-1413.81682,-1590.422375,-1384.989671,-1806.68022
1.34,-1409.624392,-1588.720721,-1388.239644,-1807.316003
1.345,-1415.832626,-1584.988301,-1399.186331,-1812.873495
1.35,-1413.502668,-1597.625423,-1383.703145,-1817.821382
1.355,-1403.098266,-1594.678382,-1387.514103,-1822.054949
1.36,-1393.535342,-1588.39161,-1378.325169,-1806.979412
1.365,-1386.848401,-1578.263961,-1353.155642,-1804.653195
1.37,-1379.237705,-1587.063945,-1352.800352,-1815.181013
1.375,-1372.229132,-1589.659436,-1330.155258,-1821.983891
1.38,-1364.236966,-1583.062252,-1309.249217,-1825.327362
1.385,-1344.078905,-1581.009047,-1277.867716,-1818.771317
1.39,-1300.486631,-1571.610679,-1232.412972,-1806.384768
1.395,-1283.466347,-1553.700298,-1208.114842,-1798.83765
1.4,-1274.266193,-1563.764368,-1181.460575,-1803.927654
1.405,-1239.806755,-1553.292649,-1147.722938,-1789.790832
1.41,-1223.89722,-1546.830101,-1113.772126,-1782.830878
1.415,-1222.906147,-1551.493757,-1115.058652,-1785.426369
1.42,-1225.180006,-1542.817189,-1094.223669,-1783.470401
