relative_sec,EEG1,EEG2,EEG3,EEG4
0.66,-1318.999136,-1336.002591,-1226.103761,-1209.092826
0.665,-1335.996981,-1350.019736,-1225.984084,-1190.449425
0.67,-1351.973834,-1339.144107,-1233.512503,-1189.15168
0.675,-1347.867424,-1350.62186,-1241.643045,-1193.811595
0.68,-1352.934988,-1360.506416,-1240.034888,-1176.641714
0.685,-1353.26036,-1367.866539,-1246.680691,-1189.974458
0.69,-1340.885031,-1328.092703,-1245.046354,-1205.816674
0.695,-1340.941129,-1352.016843,-1250.772141,-1220.379844
0.7,-1359.715427,-1352.626447,-1243.69625,-1210.861799
0.705,-1359.042245,-1357.402299,-1244.09268,-1200.588294
0.71,-1352.059852,-1351.549355,-1243.883245,-1204.287055
0.715,-1328.494742,-1350.745277,-1232.420452,-1169.805177
0.72,-1332.657251,-1348.344261,-1236.448324,-1175.811456
0.725,-1347.691649,-1354.664692,-1254.93465,-1173.294504
0.73,-1346.689355,-1360.543815,-1255.177743,-1199.361606
0.735,-1356.484153,-1362.492303,-1256.396951,-1199.148432
0.74,-1338.734588,-1340.871941,-1242.809894,-1175.867555
0.745,-1338.607432,-1349.814042,-1235.576928,-1201.695304
0.75,-1333.397751,-1349.286716,-1239.859113,-1196.818474
0.755,-1324.46687,-1348.198405,-1240.887586,-1190.24747
0.76,-1325.297128,-1348.834188,-1238.172418,-1194.021029
0.765,-1335.047047,-1336.309263,-1239.567401,-1179.476558
0.77,-1342.167816,-1357.417258,-1247.959736,-1184.177613
0.775,-1324.653865,-1339.174026,-1240.745469,-1189.765023
0.78,-1313.501483,-1332.756358,-1233.650879,-1185.658613
0.785,-1308.239444,-1355.524869,-1236.294988,-1198.550048
0.79,-1309.013603,-1318.799051,-1231.287262,-1194.065908
0.795,-1326.972603,-1332.969532,-1228.358921,-1204.305754
0.8,-1329.758828,-1333.212626,-1232.764523,-1193.456304
0.805,-1345.39909,-1346.493011,-1236.179052,-1199.380306
0.81,-1332.552534,-1351.665292,-1240.704331,-1185.669833
0.815,-1306.358274,-1353.763376,-1222.913626,-1201.149279
0.82,-1310.000937,-1343.807762,-1228.269163,-1175.848855
0.825,-1322.529602,-1343.093442,-1234.847647,-1187.315389
0.83,-1335.581852,-1351.261383,-1240.169525,-1197.401899
0.835,-1320.584854,-1346.582768,-1236.837274,-1190.359667
0.84,-1314.286862,-1331.825123,-1227.551102,-1183.007024
0.845,-1310.760136,-1333.586616,-1229.839921,-1180.246978
0.85,-1312.170079,-1350.891133,-1237.028009,-1174.416474
0.855,-1329.70273,-1361.1048,-1244.8444,-1185.41552
0.86,-1332.387978,-1344.836235,-1235.85368,-1168.518652
0.865,-1319.010356,-1331.985939,-1223.17168,-1166.270972
0.87,-1310.920952,-1351.627893,-1231.01051,-1191.971564
0.875,-1288.369355,-1338.901014,-1226.866701,-1175.848855
0.88,-1280.493126,-1327.800991,-1212.980452,-1175.026077
0.885,-1301.533803,-1346.410733,-1218.65014,-1166.285931
0.89,-1292.000798,-1343.089702,-1227.442645,-1139.381091
0.895,-1289.109856,-1338.68036,-1218.264931,-1175.179413
